doc_id,state,source_path,time_sec,py_peak_mem_mb,rss_before_mb,rss_after_mb,rss_delta_mb,had_error
California/1April19,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1April19.txt,2.4309042000677437,0.041716575622558594,105.8125,105.81640625,0.00390625,False
California/1April30,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1April30.txt,2.9400467998348176,0.0916299819946289,105.8203125,105.8203125,0.0,False
California/1April6 (CA - Catalonia),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1April6 (CA - Catalonia).txt,3.1920107998885214,0.1357097625732422,105.8203125,105.83203125,0.01171875,False
California/1August11,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1August11.txt,3.0504678001161665,0.09323978424072266,105.83203125,105.83203125,0.0,False
California/1August23,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1August23.txt,2.961343500064686,0.1155080795288086,105.8359375,105.8359375,0.0,False
California/1August26,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1August26.txt,2.599062900058925,0.0718374252319336,105.84375,105.84375,0.0,False
California/1December10,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1December10.txt,2.3762956999707967,0.05177021026611328,105.84375,105.84375,0.0,False
California/1December18,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1December18.txt,2.424057399854064,0.049592018127441406,105.84375,105.84375,0.0,False
California/1December21,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1December21.txt,2.778797199949622,0.06796073913574219,105.84375,105.84375,0.0,False
California/1December4,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1December4.txt,2.602134799817577,0.05910778045654297,105.84375,105.8515625,0.0078125,False
California/1December7 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1December7 (1).txt,3.0169148999266326,0.10905265808105469,105.8515625,105.8515625,0.0,False
California/1December7 (2),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1December7 (2).txt,2.730318399844691,0.054459571838378906,105.8515625,105.85546875,0.00390625,False
California/1December7,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1December7.txt,3.2225957999471575,0.13196659088134766,105.85546875,105.85546875,0.0,False
California/1February14,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1February14.txt,3.018194600008428,0.06600379943847656,105.85546875,105.85546875,0.0,False
California/1February26,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1February26.txt,2.9519517000298947,0.0864410400390625,105.85546875,105.85546875,0.0,False
California/1January30,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1January30.txt,2.720319300191477,0.08162498474121094,105.85546875,105.85546875,0.0,False
California/1January9,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1January9.txt,2.659880699822679,0.06705665588378906,105.85546875,105.85546875,0.0,False
California/1July12,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1July12.txt,2.473312099929899,0.03947734832763672,105.85546875,105.85546875,0.0,False
California/1July29,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1July29.txt,2.6399212998803705,0.09132671356201172,105.85546875,105.85546875,0.0,False
California/1July30 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1July30 (1).txt,3.1838653997983783,0.08717632293701172,105.85546875,105.86328125,0.0078125,False
California/1July30,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1July30.txt,2.7540516001172364,0.0399017333984375,105.86328125,105.86328125,0.0,False
California/1July5,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1July5.txt,3.3470556000247598,0.22115802764892578,105.8671875,105.87109375,0.00390625,False
California/1June1 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1June1 (1).txt,3.2648454001173377,0.11960220336914062,105.87109375,105.8828125,0.01171875,False
California/1June1,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1June1.txt,4.861106300028041,0.3277769088745117,105.8828125,105.8984375,0.015625,False
California/1June14,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1June14.txt,4.780151200015098,0.29673194885253906,105.8984375,105.8984375,0.0,False
California/1June24 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1June24 (1).txt,3.016590500017628,0.10933399200439453,105.8984375,105.8984375,0.0,False
California/1June26,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1June26.txt,3.022336400114,0.10730171203613281,105.8984375,105.8984375,0.0,False
California/1June5,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1June5.txt,2.937050900189206,0.11528778076171875,105.8984375,105.8984375,0.0,False
California/1June6,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1June6.txt,2.932460800046101,0.10132503509521484,105.8984375,105.8984375,0.0,False
California/1June7 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1June7 (1).txt,2.5039181001484394,0.04398155212402344,105.8984375,105.8984375,0.0,False
California/1June7 (2),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1June7 (2).txt,2.7386350000742823,0.05862998962402344,105.8984375,105.8984375,0.0,False
California/1June7,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1June7.txt,3.23754070000723,0.11580467224121094,105.8984375,105.8984375,0.0,False
California/1June9,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1June9.txt,3.252211500192061,0.12090587615966797,105.8984375,105.8984375,0.0,False
California/1March11,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1March11.txt,2.7362061999738216,0.07140731811523438,105.8984375,105.90234375,0.00390625,False
California/1March15,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1March15.txt,3.985443100100383,0.29239654541015625,105.90234375,105.90234375,0.0,False
California/1March28,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1March28.txt,2.706961499992758,0.07870674133300781,105.90234375,105.90234375,0.0,False
California/1March5,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1March5.txt,2.474990699905902,0.045304298400878906,105.90234375,105.90234375,0.0,False
California/1May11,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1May11.txt,2.3068123999983072,0.04026603698730469,105.90234375,105.90234375,0.0,False
California/1May24,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1May24.txt,2.7366911000572145,0.05567646026611328,105.90234375,105.90234375,0.0,False
California/1May25,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1May25.txt,2.674562100088224,0.061942100524902344,105.90234375,105.90234375,0.0,False
California/1November11,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1November11.txt,3.168100800132379,0.07214069366455078,105.90234375,105.90234375,0.0,False
California/1November12,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1November12.txt,2.4780912999995053,0.053114891052246094,105.90234375,105.90234375,0.0,False
California/1November13,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1November13.txt,2.649632800137624,0.07277870178222656,105.90234375,105.90234375,0.0,False
California/1November2 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1November2 (1).txt,3.079207200091332,0.13594627380371094,105.90234375,105.90234375,0.0,False
California/1November2,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1November2.txt,3.0492380999494344,0.11229324340820312,105.90234375,105.90234375,0.0,False
California/1November7,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1November7.txt,2.6157619999721646,0.05942726135253906,105.90234375,105.90234375,0.0,False
California/1November8,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1November8.txt,2.9721081000752747,0.0693502426147461,105.90234375,105.90234375,0.0,False
California/1November9,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1November9.txt,2.6586391001474112,0.05369853973388672,105.90234375,105.90234375,0.0,False
California/1October14,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1October14.txt,2.718673099996522,0.047034263610839844,105.90234375,105.90234375,0.0,False
California/1October2 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1October2 (1).txt,2.6735829000826925,0.08970355987548828,105.91015625,105.91015625,0.0,False
California/1October2,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1October2.txt,2.911065199878067,0.09576129913330078,105.91015625,105.91015625,0.0,False
California/1October28 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1October28 (1).txt,3.0524580001365393,0.1361989974975586,105.91015625,105.91015625,0.0,False
California/1October28,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1October28.txt,3.0855546998791397,0.0925455093383789,105.91015625,105.91015625,0.0,False
California/1October3,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1October3.txt,3.5600060999859124,0.22126007080078125,105.91015625,105.91015625,0.0,False
California/1October31,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1October31.txt,2.7878572999034077,0.10254573822021484,105.91015625,105.91015625,0.0,False
California/1October4 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1October4 (1).txt,2.886396100046113,0.10428714752197266,105.91015625,105.91015625,0.0,False
California/1October4,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1October4.txt,2.8098137001506984,0.10941791534423828,105.91015625,105.91015625,0.0,False
California/1October5,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1October5.txt,2.449409200111404,0.053592681884765625,105.91015625,105.91015625,0.0,False
California/1September10 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1September10 (1).txt,2.8113736000377685,0.11761093139648438,105.91015625,105.91015625,0.0,False
California/1September10,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1September10.txt,2.8538931999355555,0.12688350677490234,105.91015625,105.91015625,0.0,False
California/1September12,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1September12.txt,2.323767399881035,0.040495872497558594,105.91015625,105.91015625,0.0,False
California/1September15 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1September15 (1).txt,2.550304700154811,0.06145191192626953,105.91015625,105.91796875,0.0078125,False
California/1September15 (2),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1September15 (2).txt,2.673797400202602,0.07558917999267578,105.91796875,105.91796875,0.0,False
California/1September15,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1September15.txt,2.519227100070566,0.0513153076171875,105.91796875,105.91796875,0.0,False
California/1September19,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1September19.txt,2.7447987999767065,0.0664529800415039,105.91796875,105.91796875,0.0,False
California/1September22 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1September22 (1).txt,2.6943586000707,0.08197784423828125,105.91796875,105.91796875,0.0,False
California/1September22 (2),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1September22 (2).txt,2.60312580014579,0.06833362579345703,105.91796875,105.91796875,0.0,False
California/1September29,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1September29.txt,2.4784866999834776,0.04186058044433594,105.91796875,105.91796875,0.0,False
California/1Undated (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1Undated (1).txt,3.0015181000344455,0.09479904174804688,105.91796875,105.91796875,0.0,False
California/1Undated,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1Undated.txt,2.673408600036055,0.05547904968261719,105.91796875,105.91796875,0.0,False
California/California_1,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\California_1.txt,2.876452799886465,0.06897544860839844,105.921875,105.921875,0.0,False
California/California_10,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\California_10.txt,3.5126418001018465,0.1725292205810547,105.921875,105.921875,0.0,False
California/California_11,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\California_11.txt,2.4157870998606086,0.0671234130859375,105.921875,105.921875,0.0,False
California/California_12,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\California_12.txt,2.9040908999741077,0.11868476867675781,105.921875,105.92578125,0.00390625,False
California/California_13,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\California_13.txt,2.9580715999472886,0.12086296081542969,105.92578125,105.93359375,0.0078125,False
California/California_14,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\California_14.txt,2.8026682999916375,0.08374595642089844,105.93359375,105.93359375,0.0,False
